ID,Authors
1,"Wawrzyn G.T., Bloch S.E., Schmidt-Dannert C."
2,"Schnitzler T., Herrmann A."
3,"Durani V., Sullivan B.J., Magliery T.J."
4,"Schwartz J.J., Lee C., Shendure J."
5,"Havens K.A., Guseman J.M., Jang S.S., Pierre-Jerome E., Bolten N., Klavins E., Nemhauser J.L."
6,"Temme K., Hill R., Segall-Shapiro T.H., Moser F., Voigt C.A."
7,"Ma S., Tang N., Tian J."
8,"Cheng A.A., Lu T.K."
9,"Chen X., Kohl T.A., Ruckert C., Rodionov D.A., Li L.-H., Ding J.-Y., Kalinowski J., Liu S.-J."
10,"Liang X., Peng L., Li K., Peterson T., Katzen F."
11,"Cobb R.E., Si T., Zhao H."
12,"Bucking C., Piepenbrock A., Kappler A., Gescher J."
13,"Wang B., Buck M."
14,"Feher T., Burland V., Posfai G."
15,"Kitney R., Freemont P."
16,"Rodrigo G., Carrera J., Landrain T.E., Jaramillo A."
17,"Blount B.A., Weenink T., Ellis T."
18,"Agudo R., Roiban G.-D., Reetz M.T."
19,"Vogel H., Richert C."
20,"Schmid-Burgk J.L., Xie Z., Frank S., Winter S.V., Mitschka S., Kolanus W., Murray A., Benenson Y."
21,"Chihara D., Nance J."
22,"Lee C.A., Thomas J., Grossman A.D."
23,Calvert J.
24,"Gagarinova A., Emili A."
25,"Hudson E.P., Nikoshkov A., Uhlen M., Rockberg J."
26,"Tsvetanova B., Peng L., Liang X., Li K., Hammond L., Peterson T.C., Katzen F."
27,"Cobb R.E., Zhao H."
28,"Hodgman C.E., Jewett M.C."
29,"Temme K., Zhao D., Voigt C.A."
30,"Lynch S.A., Gill R.T."
31,"Cox III R.S., Toyoda T."
32,Spiliotis M.
33,"Ducat D.C., Avelar-Rivas J.A., Way J.C., Silvera P.A."
34,"Strickland D., Lin Y., Wagner E., Hope C.M., Zayner J., Antoniou C., Sosnick T.R., Weiss E.L., Glotzer M."
35,"Groff D., Benke P.I., Batth T.S., Bokinsky G., Petzold C.J., Adams P.D., Keasling J.D."
36,"Yu T., Bao X., Piao W., Peng J., Li W., Yang C., Xing M., Zhang Y., Qi J., Xu L., Xu L., Liu Q."
37,"Richardson S.M., Liu S., Boeke J.D., Bader J.S."
38,"Annaluru N., Muller H., Ramalingam S., Kandavelou K., London V., Richardson S.M., Dymond J.S., Cooper E.M., Bader J.S., Boeke J.D., Chandrasegaran S."
39,"Blount B.A., Weenink T., Vasylechko S., Ellis T."
40,"Wang T., Ma X., Zhu H., Li A., Du G., Chen J."
41,"Chen Y.Y., Galloway K.E., Smolke C.D."
42,"Wright O., Yoshimi T., Tunnacliffe A."
43,"Jakobus K., Wend S., Weber W."
44,"Li M., Wang J., Geng Y., Li Y., Wang Q., Liang Q., Qi Q."
45,"Jiang X., Yang J., Zhang H., Zou H., Wang C., Xian M."
46,"Liang X., Peng L., Tsvetanova B., Li K., Yang J.-P., Ho T., Shirley J., Xu L., Potter J., Kudlicki W., Peterson T., Katzen F."
47,"Zou S.B., Hersch S.J., Roy H., Wiggers J.B., Leung A.S., Buranyi S., Xie J.L., Dare K., Ibba M., Navarre W.W."
48,"Speer M.A., Richard T.L."
49,"Zhang L., Zhao G., Ding X."
50,"Wimmer E., Paul A.V."
51,"Toettcher J.E., Gong D., Lim W.A., Weiner O.D."
52,"Juhas M., Eberl L., Glass J.I."
53,"Crawford J.M., Mahlstedt S.A., Malcolmson S.J., Clardy J., Walsh C.T."
54,"Agnew D.E., Pfleger B.F."
55,"Lee T.S., Krupa R.A., Zhang F., Hajimorad M., Holtz W.J., Prasad N., Lee S.K., Keasling J.D."
56,"Wingler L.M., Cornish V.W."
57,"Osborn M.J., Defeo A.P., Blazar B.R., Tolar J."
58,"Schutz B., Seidel J., Sturm G., Einsle O., Gescher J."
59,"Lohman G.J., Tabor S., Nichols N.M."
60,Mitchell W.
61,"Sarrion-Perdigones A., Falconi E.E., Zandalinas S.I., Juarez P., Fernandez-del-Carmen A., Granell A., Orzaez D."
62,"Lan E.I., Liao J.C."
63,"Reetz M.T., Zheng H."
64,"McMurdie P.J., Hug L.A., Edwards E.A., Holmes S., Spormann A.M."
65,"Chen Y., Seo T.S."
66,"Weyman P.D., Vargas W.A., Tong Y., Yu J., Maness P.-C., Smith H.O., Xu Q."
67,"Whitaker W.R., Dueber J.E."
68,"Itaya M., Tsuge K."
69,Gibson D.G.
70,"Tsvetanova B., Peng L., Liang X., Li K., Yang J.-P., Ho T., Shirley J., Xu L., Potter J., Kudlicki W., Peterson T., Katzen F."
71,"Rhodius V.A., Gross C.A."
72,"Hughes R.A., Miklos A.E., Ellington A.D."
73,"Peck S.H., Chen I., Liu D.R."
74,"Weber E., Gruetzner R., Werner S., Engler C., Marillonnet S."
75,"Cai L., Sutter B., Li B., Tu B."
76,Baker M.
77,"Weyman P.D., Vargas W.A., Chuang R.-Y., Chang Y., Smith H.O., Xu Q."
78,"Bujara M., Schumperli M., Pellaux R., Heinemann M., Panke S."
79,"Esvelt K.M., Carlson J.C., Liu D.R."
80,"Galdzicki M., Rodriguez C., Chandran D., Sauro H.M., Gennari J.H."
81,"Weber E., Engler C., Gruetzner R., Werner S., Marillonnet S."
82,"Marchisio M.A., Rudolf F."
83,"Moon T.S., Clarke E.J., Groban E.S., Tamsir A., Clark R.M., Eames M., Kortemme T., Voigt C.A."
84,"Ellis T., Adie T., Baldwin G.S."
85,"Marchisio M.A., Stelling J."
86,"Medema M.H., Breitling R., Bovenberg R., Takano E."
87,"MacDonald J.T., Barnes C., Kitney R.I., Freemont P.S., Stan G.-B.V."
88,"Ramon A., Smith H.O."
89,"Norville J.E., Derda R., Gupta S., Drinkwater K.A., Belcher A.M., Leschziner A.E., Knight Jr T.F."
90,"Fischbach M., Voigt C.A."
91,"Goltermann L., Bentin T."
92,"McArthur IV G.H., Fong S.S."
93,Carr P.A.
94,"Gibson D.G., Smith H.O., Hutchison C.A., Venter J.C., Merryman C."
95,"Widmaier D.M., Voigt C.A."
96,"Jewett M.C., Forster A.C."
97,"Bujara M., Panke S."
98,Bayer T.S.
99,"Clancy K., Voigt C.A."
100,"Krishnakumar R., Assad-Garcia N., Benders G.A., Phan Q., Montague M.G., Glass J.I."
101,"Gibson D.G., Glass J.I., Lartigue C., Noskov V.N., Chuang R.-Y., Algire M.A., Benders G.A., Montague M.G., Ma L., Moodie M.M., Merryman C., Vashee S., Krishnakumar R., Assad-Garcia N., Andrews-Pfannkoch C., Denisova E.A., Young L., Qi Z.-N., Segall-Shapiro T.H., Calvey C.H., Parmar P.P., Hutchison III C.A., Smith H.O., Venter J.C."
102,Itaya M.
103,"Neumann H., Neumann-Staubitz P."
104,"Kaneko S., Itaya M."
105,"Sleight S.C., Bartley B.A., Lieviant J.A., Sauro H.M."
106,"Densmore D., Hsiau T.H.-C., Kittleson J.T., DeLoache W., Batten C., Anderson J.C."
107,"Itaya M., Kaneko S."
108,"Benders G.A., Noskov V.N., Denisova E.A., Lartigue C., Gibson D.G., Assad-Garcia N., Chuang R.-Y., Carrera W., Moodie M., Algire M.A., Phan Q., Alperovich N., Vashee S., Merryman C., Venter J.C., Smith H.O., Glass J.I., Hutchison III C.A."
109,"Blake W.J., Chapman B.A., Zindal A., Lee M.E., Lippow S.M., Baynes B.M."
110,"Anderson J.C., Dueber J.E., Leguia M., Wu G.C., Arkin A.P., Keasling J.D."
